,PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,Start_Datetime,End_Datetime,Date_completeness
0,1,10/6/2023,A1,Morning (7-9am),SRG,7:57,8:07,Sunny,Dry,Calm,66,https://ebird.org/checklist/S151543374,,-,2023-10-06 07:57:00,2023-10-06 08:07:00,1.0
1,2,10/6/2023,A2,Morning (7-9am),SRG,8:10,8:20,Sunny,Dry,Calm,67,https://ebird.org/checklist/S151544169,gateway construction,-,2023-10-06 08:10:00,2023-10-06 08:20:00,1.0
2,3,10/6/2023,A3,Morning (7-9am),SRG,8:26,8:37,Sunny,Dry,Calm,68,https://ebird.org/checklist/S151545326,gateway construction,-,2023-10-06 08:26:00,2023-10-06 08:37:00,1.0
3,4,10/6/2023,A4,Morning (7-9am),SRG,8:38,8:48,Sunny,Dry,Calm,69,https://ebird.org/checklist/S151546308,,-,2023-10-06 08:38:00,2023-10-06 08:48:00,1.0
4,5,10/6/2023,A5,Morning (7-9am),SRG,8:49,8:59,Sunny,Dry,Calm,69,https://ebird.org/checklist/S151547250,,-,2023-10-06 08:49:00,2023-10-06 08:59:00,1.0
5,6,10/6/2023,A6,Morning (7-9am),SRG,9:01,9:11,Sunny,Dry,Calm,71,https://ebird.org/checklist/S151548225,,-,2023-10-06 09:01:00,2023-10-06 09:11:00,1.0
6,7,10/6/2023,C1,Mid-day (11am-1pm),LSW,11:40,11:50,Sunny,Dry,Calm,77,https://ebird.org/checklist/S151559799,construction going on at Engineering Center - loud drilling and vehicle movement,-,2023-10-06 11:40:00,2023-10-06 11:50:00,1.0
7,8,10/6/2023,C2,Mid-day (11am-1pm),LSW,11:54,12:04,Sunny,Dry,Calm,79,https://ebird.org/checklist/S151560761,"Cal-nival going on, lots of noise from generators, golfcarts, music, and truck unloading (by Campanile and on Memorial Glade",-,2023-10-06 11:54:00,2023-10-06 12:04:00,1.0
8,9,10/6/2023,C3,Mid-day (11am-1pm),LSW,12:10,12:20,Sunny,Dry,Calm,79,https://ebird.org/checklist/S151561718,"also lots of noise here, Campanile playing chimes, large tents and lots of foot/vehicle traffic",-,2023-10-06 12:10:00,2023-10-06 12:20:00,1.0
9,10,10/6/2023,C4,Mid-day (11am-1pm),LSW,12:24,12:34,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151562514,,-,2023-10-06 12:24:00,2023-10-06 12:34:00,1.0
10,11,10/6/2023,C5,Mid-day (11am-1pm),LSW,12:36,12:46,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151563298,"construction in South Circle west of Dwinelle Hall, extremely loud - moved to entrance of Durham Studio Theater because the exact C5 location was blocked by construction fencing",-,2023-10-06 12:36:00,2023-10-06 12:46:00,1.0
11,12,10/6/2023,C6,Mid-day (11am-1pm),LSW,12:50,13:00,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151564175,no sp. seen,-,2023-10-06 12:50:00,2023-10-06 13:00:00,1.0
12,13,10/6/2023,A1,Evening (3-5pm),SRG,15:25,15:35,Sunny,Dry,Calm,91,https://ebird.org/checklist/S151574381,,-,2023-10-06 15:25:00,2023-10-06 15:35:00,1.0
13,14,10/6/2023,A2,Evening (3-5pm),SRG,15:38,15:49,Sunny,Dry,Calm,91,https://ebird.org/checklist/S151575194,construction stopped for the day,-,2023-10-06 15:38:00,2023-10-06 15:49:00,1.0
14,15,10/6/2023,A3,Evening (3-5pm),SRG,15:53,16:02,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151576065,,-,2023-10-06 15:53:00,2023-10-06 16:02:00,1.0
15,16,10/6/2023,A4,Evening (3-5pm),SRG,16:05,16:15,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151576649,,-,2023-10-06 16:05:00,2023-10-06 16:15:00,1.0
16,17,10/6/2023,A5,Evening (3-5pm),SRG,16:16,16:25,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151577201,,-,2023-10-06 16:16:00,2023-10-06 16:25:00,1.0
17,18,10/6/2023,A6,Evening (3-5pm),SRG,16:27,16:38,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151577812,,-,2023-10-06 16:27:00,2023-10-06 16:38:00,1.0
18,19,10/12/2023,B1,Morning (7-9am),SRG,8:03,8:12,Sunny,Dry,Calm,55,https://ebird.org/checklist/S152014131,,-,2023-10-12 08:03:00,2023-10-12 08:12:00,0.6666666666666666
19,20,10/12/2023,B2,Morning (7-9am),SRG,8:15,8:24,Sunny,Dry,Calm,55,https://ebird.org/checklist/S152014904,,-,2023-10-12 08:15:00,2023-10-12 08:24:00,0.6666666666666666
20,21,10/12/2023,B3,Morning (7-9am),SRG,8:27,8:37,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152015947,,-,2023-10-12 08:27:00,2023-10-12 08:37:00,0.6666666666666666
