PC #,Date,Location,Time Bin,Observer,Start Time,End Time,Weather,Precipitation,Wind,Temperature,eBird Link,Notes,Jon's problem checker,,,
1,10/6/2023,A1,Morning (7-9am),SRG,7:57,8:07,Sunny,Dry,Calm,66,https://ebird.org/checklist/S151543374,,-,,,
2,10/6/2023,A2,Morning (7-9am),SRG,8:10,8:20,Sunny,Dry,Calm,67,https://ebird.org/checklist/S151544169,gateway construction,-,,,
3,10/6/2023,A3,Morning (7-9am),SRG,8:26,8:37,Sunny,Dry,Calm,68,https://ebird.org/checklist/S151545326,gateway construction,-,,,
4,10/6/2023,A4,Morning (7-9am),SRG,8:38,8:48,Sunny,Dry,Calm,69,https://ebird.org/checklist/S151546308,,-,,,
5,10/6/2023,A5,Morning (7-9am),SRG,8:49,8:59,Sunny,Dry,Calm,69,https://ebird.org/checklist/S151547250,,-,,,
6,10/6/2023,A6,Morning (7-9am),SRG,9:01,9:11,Sunny,Dry,Calm,71,https://ebird.org/checklist/S151548225,,-,,,
7,10/6/2023,C1,Mid-day (11am-1pm),LSW,11:40,11:50,Sunny,Dry,Calm,77,https://ebird.org/checklist/S151559799,construction going on at Engineering Center - loud drilling and vehicle movement,-,,,
8,10/6/2023,C2,Mid-day (11am-1pm),LSW,11:54,12:04,Sunny,Dry,Calm,79,https://ebird.org/checklist/S151560761,"Cal-nival going on, lots of noise from generators, golfcarts, music, and truck unloading (by Campanile and on Memorial Glade",-,,,
9,10/6/2023,C3,Mid-day (11am-1pm),LSW,12:10,12:20,Sunny,Dry,Calm,79,https://ebird.org/checklist/S151561718,"also lots of noise here, Campanile playing chimes, large tents and lots of foot/vehicle traffic",-,,,
10,10/6/2023,C4,Mid-day (11am-1pm),LSW,12:24,12:34,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151562514,,-,,,
11,10/6/2023,C5,Mid-day (11am-1pm),LSW,12:36,12:46,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151563298,"construction in South Circle west of Dwinelle Hall, extremely loud - moved to entrance of Durham Studio Theater because the exact C5 location was blocked by construction fencing",-,,,
12,10/6/2023,C6,Mid-day (11am-1pm),LSW,12:50,13:00,Sunny,Dry,Calm,81,https://ebird.org/checklist/S151564175,no sp. seen,-,,,
13,10/6/2023,A1,Evening (3-5pm),SRG,15:25,15:35,Sunny,Dry,Calm,91,https://ebird.org/checklist/S151574381,,-,,,
14,10/6/2023,A2,Evening (3-5pm),SRG,15:38,15:49,Sunny,Dry,Calm,91,https://ebird.org/checklist/S151575194,construction stopped for the day,-,,,
15,10/6/2023,A3,Evening (3-5pm),SRG,15:53,16:02,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151576065,,-,,,
16,10/6/2023,A4,Evening (3-5pm),SRG,16:05,16:15,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151576649,,-,,,
17,10/6/2023,A5,Evening (3-5pm),SRG,16:16,16:25,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151577201,,-,,,
18,10/6/2023,A6,Evening (3-5pm),SRG,16:27,16:38,Sunny,Dry,Calm,90,https://ebird.org/checklist/S151577812,,-,,,
19,10/12/2023,B1,Morning (7-9am),SRG,8:03,8:12,Sunny,Dry,Calm,55,https://ebird.org/checklist/S152014131,,-,,,
20,10/12/2023,B2,Morning (7-9am),SRG,8:15,8:24,Sunny,Dry,Calm,55,https://ebird.org/checklist/S152014904,,-,,,
21,10/12/2023,B3,Morning (7-9am),SRG,8:27,8:37,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152015947,,-,,,
22,10/12/2023,B4,Morning (7-9am),SRG,8:38,8:48,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152016715,,-,,,
23,10/12/2023,B5,Morning (7-9am),SRG,8:50,9:00,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152021837,,-,,,
24,10/12/2023,B6,Morning (7-9am),SRG,9:02,9:11,Sunny,Dry,Calm,57,https://ebird.org/checklist/S152018390,,-,,,
25,10/12/2023,A6,Mid-day (11am-1pm),SRG,11:54,12:04,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152029889,,-,,,
26,10/12/2023,A5,Mid-day (11am-1pm),SRG,12:06,12:16,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152030552,,-,,,
27,10/12/2023,A4,Mid-day (11am-1pm),SRG,12:17,12:27,Sunny,Dry,Calm,69,https://ebird.org/checklist/S152031318,,-,,,
28,10/12/2023,A3,Mid-day (11am-1pm),SRG,12:29,12:39,Sunny,Dry,Calm,71,https://ebird.org/checklist/S152032041,,-,,,
29,10/12/2023,A2,Mid-day (11am-1pm),SRG,12:44,12:54,Sunny,Dry,Calm,72,https://ebird.org/checklist/S152033051,Construction,-,,,
