PC #,Date,Location,Time Bin,Species,# Individuals,Notes,Editorial notes,Jon Problem Checker
1,10/06/2023,A1,Morning (7-9am),Rock Pigeon,3,,,-
1,10/06/2023,A1,Morning (7-9am),Anna's Hummingbird,3,,,-
1,10/06/2023,A1,Morning (7-9am),Nuttall's Woodpecker,1,,,-
1,10/06/2023,A1,Morning (7-9am),American Crow,3,,,-
1,10/06/2023,A1,Morning (7-9am),Dark-eyed Junco,2,,,-
1,10/06/2023,A1,Morning (7-9am),California Towhee,3,,,-
2,10/06/2023,A2,Morning (7-9am),Anna's Hummingbird,1,,,-
2,10/06/2023,A2,Morning (7-9am),Chestnut-backed Chickadee,3,,,-
2,10/06/2023,A2,Morning (7-9am),Hermit Thrush,2,,,-
2,10/06/2023,A2,Morning (7-9am),Dark-eyed Junco,4,,,-
2,10/06/2023,A2,Morning (7-9am),California Towhee,3,,,-
3,10/06/2023,A3,Morning (7-9am),American Crow,2,,,-
3,10/06/2023,A3,Morning (7-9am),Parulidae_Family,1,,,-
4,10/06/2023,A4,Morning (7-9am),Rock Pigeon,5,,,-
4,10/06/2023,A4,Morning (7-9am),Anna's Hummingbird,2,,,-
4,10/06/2023,A4,Morning (7-9am),Red-shouldered Hawk,2,,,-
4,10/06/2023,A4,Morning (7-9am),American Crow,5,,,-
4,10/06/2023,A4,Morning (7-9am),Chestnut-backed Chickadee,3,,,-
4,10/06/2023,A4,Morning (7-9am),House Finch,6,,,-
4,10/06/2023,A4,Morning (7-9am),California Towhee,2,,,-
5,10/06/2023,A5,Morning (7-9am),Nuttall's Woodpecker,1,,,-
5,10/06/2023,A5,Morning (7-9am),American Crow,1,,,-
5,10/06/2023,A5,Morning (7-9am),Chestnut-backed Chickadee,6,,,-
5,10/06/2023,A5,Morning (7-9am),Red-breasted Nuthatch,1,,,-
5,10/06/2023,A5,Morning (7-9am),Dark-eyed Junco,5,,,-
6,10/06/2023,A6,Morning (7-9am),Anna's Hummingbird,2,,,-
6,10/06/2023,A6,Morning (7-9am),Nuttall's Woodpecker,1,,,-
